,director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,imdb_score,movie_titleO,combined
2024,Jonathan Lynn,Matthew Perry,Comedy Crime,Bruce Willis,the whole nine yards,Natasha Henstridge,6.7,The Whole Nine Yards,Jonathan Lynn Matthew Perry Bruce Willis Comedy Crime Natasha Henstridge
2025,Herbert Ross,Chris Penn,Drama Music Romance,Dianne Wiest,footloose,Lori Singer,6.5,Footloose,Herbert Ross Chris Penn Dianne Wiest Drama Music Romance Lori Singer
2026,Todd Phillips,Leah Remini,Comedy,Will Ferrell,old school,Patrick Fischler,7.2,Old School,Todd Phillips Leah Remini Will Ferrell Comedy Patrick Fischler
2027,Terry Gilliam,David Hyde Pierce,Comedy Drama Fantasy,Jeff Bridges,the fisher king,Harry Shearer,7.6,The Fisher King,Terry Gilliam David Hyde Pierce Jeff Bridges Comedy Drama Fantasy Harry Shearer
2028,Danny Cannon,Mekhi Phifer,Horror Mystery,Muse Watson,i still know what you did last summer,Bill Cobbs,4.6,I Still Know What You Did Last Summer,Danny Cannon Mekhi Phifer Muse Watson Horror Mystery Bill Cobbs
2029,Bonnie Hunt,Jim Belushi,Comedy Drama Romance,Minnie Driver,return to me,Bonnie Hunt,6.9,Return to Me,Bonnie Hunt Jim Belushi Minnie Driver Comedy Drama Romance Bonnie Hunt
2030,Kevin Smith,Jeff Anderson,Comedy Romance,Gerry Bednob,zack and miri make a porno,Jennifer Schwalbach Smith,6.6,Zack and Miri Make a Porno,Kevin Smith Jeff Anderson Gerry Bednob Comedy Romance Jennifer Schwalbach Smith
2031,Neil LaBute,Pruitt Taylor Vince,Comedy Crime Drama,Morgan Freeman,nurse betty,Kathleen Wilhoite,6.3,Nurse Betty,Neil LaBute Pruitt Taylor Vince Morgan Freeman Comedy Crime Drama Kathleen Wilhoite
2032,Grant Heslov,Jeff Bridges,Comedy War,Kevin Spacey,the men who stare at goats,Stephen Root,6.2,The Men Who Stare at Goats,Grant Heslov Jeff Bridges Kevin Spacey Comedy War Stephen Root
2033,George Gallo,Eddie Griffin,Action Comedy Crime Thriller,Daniel Roebuck,double take,Garcelle Beauvais,5.3,Double Take,George Gallo Eddie Griffin Daniel Roebuck Action Comedy Crime Thriller Garcelle Beauvais
2034,James Mangold,Clea DuVall,Biography Drama,Angelina Jolie Pitt,"girl, interrupted",Vanessa Redgrave,7.3,"Girl, Interrupted",James Mangold Clea DuVall Angelina Jolie Pitt Biography Drama Vanessa Redgrave
2035,Robert Luketic,Gary Cole,Comedy Romance,Topher Grace,win a date with tad hamilton!,Nathan Lane,5.6,Win a Date with Tad Hamilton!,Robert Luketic Gary Cole Topher Grace Comedy Romance Nathan Lane
2036,Tim Hill,F. Murray Abraham,Adventure Comedy Family Fantasy Music Sci-Fi,Josh Charles,muppets from space,David Arquette,6.2,Muppets from Space,Tim Hill F. Murray Abraham Josh Charles Adventure Comedy Family Fantasy Music Sci-Fi David Arquette
2037,Sidney Lumet,Diana Ross,Adventure Family Fantasy Music Musical,Lena Horne,the wiz,Theresa Merritt,5.2,The Wiz,Sidney Lumet Diana Ross Lena Horne Adventure Family Fantasy Music Musical Theresa Merritt
2038,Brian Robbins,Ellen Albertini Dow,Comedy Sport,Oliver Platt,ready to rumble,Martin Landau,5.3,Ready to Rumble,Brian Robbins Ellen Albertini Dow Oliver Platt Comedy Sport Martin Landau
2039,Ron Shelton,Robert Wagner,Comedy Drama Sport,Willie Garson,play it to the bone,Lolita Davidovich,5.4,Play It to the Bone,Ron Shelton Robert Wagner Willie Garson Comedy Drama Sport Lolita Davidovich
2040,Douglas McGrath,Busy Philipps,Comedy Romance,Olivia Munn,i don't know how she does it,Jessica Szohr,4.9,I Don't Know How She Does It,Douglas McGrath Busy Philipps Olivia Munn Comedy Romance Jessica Szohr
2041,Alexandre Aja,Kelly Brook,Comedy Horror,Adam Scott,piranha 3d,Jessica Szohr,5.5,Piranha 3D,Alexandre Aja Kelly Brook Adam Scott Comedy Horror Jessica Szohr
2042,Kevin Spacey,Bob Hoskins,Biography Drama Music Musical,Kevin Spacey,beyond the sea,Brenda Blethyn,6.7,Beyond the Sea,Kevin Spacey Bob Hoskins Kevin Spacey Biography Drama Music Musical Brenda Blethyn
2043,Steve Boyum,M.C. Gainey,Comedy Family,Paul Walker,meet the deedles,A.J. Langer,3.9,Meet the Deedles,Steve Boyum M.C. Gainey Paul Walker Comedy Family A.J. Langer
2044,Richard Williams,Kenneth Williams,Action Adventure Animation Comedy Fantasy,Donald Pleasence,the princess and the cobbler,Clive Revill,7.2,The Princess and the Cobbler,Richard Williams Kenneth Williams Donald Pleasence Action Adventure Animation Comedy Fantasy Clive Revill
2045,Mary McGuckian,F. Murray Abraham,Drama Romance,Robert De Niro,the bridge of san luis rey,Geraldine Chaplin,5.1,The Bridge of San Luis Rey,Mary McGuckian F. Murray Abraham Robert De Niro Drama Romance Geraldine Chaplin
2046,George Tillman Jr.,Tom Berenger,Action Crime Drama Thriller,Dwayne Johnson,faster,Mike Epps,6.5,Faster,George Tillman Jr. Tom Berenger Dwayne Johnson Action Crime Drama Thriller Mike Epps
2047,Hayao Miyazaki,Blythe Danner,Adventure Animation Family Fantasy,Christian Bale,howl's moving castle,Jean Simmons,8.2,Howl's Moving Castle,Hayao Miyazaki Blythe Danner Christian Bale Adventure Animation Family Fantasy Jean Simmons
2048,Ruben Fleischer,Bill Murray,Adventure Comedy Horror Sci-Fi,Emma Stone,zombieland,Derek Graf,7.7,Zombieland,Ruben Fleischer Bill Murray Emma Stone Adventure Comedy Horror Sci-Fi Derek Graf
2050,Frank Coraci,Clint Howard,Comedy Sport,Adam Sandler,the waterboy,Peter Dante,6.1,The Waterboy,Frank Coraci Clint Howard Adam Sandler Comedy Sport Peter Dante
2051,Irvin Kershner,Kenny Baker,Action Adventure Fantasy Sci-Fi,Harrison Ford,star wars: episode v - the empire strikes back,Anthony Daniels,8.8,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner Kenny Baker Harrison Ford Action Adventure Fantasy Sci-Fi Anthony Daniels
2052,Michael Bay,Tchéky Karyo,Action Comedy Crime Drama Thriller,Will Smith,bad boys,Theresa Randle,6.8,Bad Boys,Michael Bay Tchéky Karyo Will Smith Action Comedy Crime Drama Thriller Theresa Randle
2053,David Zucker,Priscilla Presley,Comedy Crime,George Kennedy,the naked gun 2½: the smell of fear,O.J. Simpson,6.8,The Naked Gun 2½: The Smell of Fear,David Zucker Priscilla Presley George Kennedy Comedy Crime O.J. Simpson
2054,James Wong,Brendan Fehr,Horror Thriller,Daniel Roebuck,final destination,Kerr Smith,6.7,Final Destination,James Wong Brendan Fehr Daniel Roebuck Horror Thriller Kerr Smith
2055,George Clooney,Philip Seymour Hoffman,Drama,Ryan Gosling,the ides of march,Jennifer Ehle,7.1,The Ides of March,George Clooney Philip Seymour Hoffman Ryan Gosling Drama Jennifer Ehle
2056,David Twohy,Radha Mitchell,Horror Sci-Fi,Vin Diesel,pitch black,Cole Hauser,7.1,Pitch Black,David Twohy Radha Mitchell Vin Diesel Horror Sci-Fi Cole Hauser
2057,Tony Goldwyn,Ellen Barkin,Comedy Romance,Hugh Jackman,someone like you...,Catherine Dent,6.1,Someone Like You...,Tony Goldwyn Ellen Barkin Hugh Jackman Comedy Romance Catherine Dent
2058,Spike Jonze,Brian Johnson,Drama Romance Sci-Fi,Scarlett Johansson,her,Matt Letscher,8.0,Her,Spike Jonze Brian Johnson Scarlett Johansson Drama Romance Sci-Fi Matt Letscher
2060,John Dahl,Jessica Bowman,Mystery Thriller,Paul Walker,joy ride,Dell Yount,6.6,Joy Ride,John Dahl Jessica Bowman Paul Walker Mystery Thriller Dell Yount
2061,Jonathan Newman,Keeley Hawes,Adventure Family Fantasy,Ioan Gruffudd,the adventurer: the curse of the midas box,Oliver Stark,5.4,The Adventurer: The Curse of the Midas Box,Jonathan Newman Keeley Hawes Ioan Gruffudd Adventure Family Fantasy Oliver Stark
2062,Wayne Wang,Eva Amurri Martino,Comedy Drama,Natalie Portman,anywhere but here,Shawn Hatosy,6.1,Anywhere But Here,Wayne Wang Eva Amurri Martino Natalie Portman Comedy Drama Shawn Hatosy
2064,Michael Dinner,Dan Hedaya,Comedy Crime,Seymour Cassel,the crew,Lainie Kazan,5.6,The Crew,Michael Dinner Dan Hedaya Seymour Cassel Comedy Crime Lainie Kazan
2065,Steven Soderbergh,Michael Fassbender,Action Thriller,Channing Tatum,haywire,Michael Angarano,5.8,Haywire,Steven Soderbergh Michael Fassbender Channing Tatum Action Thriller Michael Angarano
2066,Joseph Sargent,Mario Van Peebles,Adventure Horror Thriller,Judith Barsi,jaws: the revenge,Lynn Whitfield,2.8,Jaws: The Revenge,Joseph Sargent Mario Van Peebles Judith Barsi Adventure Horror Thriller Lynn Whitfield
2067,Jerry Zaks,Robert De Niro,Drama,Leonardo DiCaprio,marvin's room,Meryl Streep,6.7,Marvin's Room,Jerry Zaks Robert De Niro Leonardo DiCaprio Drama Meryl Streep
2068,Fred Durst,Dash Mihok,Biography Comedy Drama Family Sport,Tasha Smith,the longshots,Garrett Morris,5.1,The Longshots,Fred Durst Dash Mihok Tasha Smith Biography Comedy Drama Family Sport Garrett Morris
2069,Neil Jordan,Ian Hart,Drama Romance,Stephen Rea,the end of the affair,James Bolam,7.2,The End of the Affair,Neil Jordan Ian Hart Stephen Rea Drama Romance James Bolam
2070,Simon Wincer,Tia Carrere,Action Crime Drama Thriller Western,Vanessa Williams,harley davidson and the marlboro man,Don Johnson,6.0,Harley Davidson and the Marlboro Man,Simon Wincer Tia Carrere Vanessa Williams Action Crime Drama Thriller Western Don Johnson
2071,Paul Haggis,Charlize Theron,Crime Drama Mystery Thriller,James Franco,in the valley of elah,Barry Corbin,7.2,In the Valley of Elah,Paul Haggis Charlize Theron James Franco Crime Drama Mystery Thriller Barry Corbin
2072,Anne Fontaine,Benoît Poelvoorde,Biography Drama,Alessandro Nivola,coco before chanel,Marie Gillain,6.7,Coco Before Chanel,Anne Fontaine Benoît Poelvoorde Alessandro Nivola Biography Drama Marie Gillain
2073,Jon Cassar,Landon Liboiron,Drama Western,Demi Moore,forsaken,Michael Wincott,6.3,Forsaken,Jon Cassar Landon Liboiron Demi Moore Drama Western Michael Wincott
2074,Stephen Frears,Iben Hjejle,Comedy Drama Romance,Tom Burke,chéri,Gaye Brown,6.2,Chéri,Stephen Frears Iben Hjejle Tom Burke Comedy Drama Romance Gaye Brown
2076,Mira Nair,Roger Lloyd Pack,Drama,Romola Garai,vanity fair,Lillete Dubey,6.2,Vanity Fair,Mira Nair Roger Lloyd Pack Romola Garai Drama Lillete Dubey
2077,Teddy Chan,Simon Yam,Action Drama History,Bingbing Fan,bodyguards and assassins,Nicholas Tse,6.9,Bodyguards and Assassins,Teddy Chan Simon Yam Bingbing Fan Action Drama History Nicholas Tse
2078,Mikael Håfström,Kim Thomson,Fantasy Horror,Drew Powell,1408,Alexandra Silber,6.8,1408,Mikael Håfström Kim Thomson Drew Powell Fantasy Horror Alexandra Silber
2079,Mel Brooks,Dick Van Patten,Adventure Comedy Sci-Fi,Joan Rivers,spaceballs,Michael Winslow,7.1,Spaceballs,Mel Brooks Dick Van Patten Joan Rivers Adventure Comedy Sci-Fi Michael Winslow
2080,Russell Crowe,Ryan Corr,Drama War,Cem Yilmaz,the water diviner,Steve Bastoni,7.1,The Water Diviner,Russell Crowe Ryan Corr Cem Yilmaz Drama War Steve Bastoni
2081,Jerry Zucker,Tony Goldwyn,Drama Fantasy Romance Thriller,Demi Moore,ghost,Phil Leeds,7.0,Ghost,Jerry Zucker Tony Goldwyn Demi Moore Drama Fantasy Romance Thriller Phil Leeds
2082,Bobby Farrelly,Lin Shaye,Comedy Romance,Sarah Silverman,there's something about mary,Richard Tyson,7.1,There's Something About Mary,Bobby Farrelly Lin Shaye Sarah Silverman Comedy Romance Richard Tyson
2083,John Pasquin,Eric Lloyd,Comedy Drama Family Fantasy,Judge Reinhold,the santa clause,Peter Boyle,6.4,The Santa Clause,John Pasquin Eric Lloyd Judge Reinhold Comedy Drama Family Fantasy Peter Boyle
2084,John Lee Hancock,Jay Hernandez,Drama Family Sport,Dennis Quaid,the rookie,Angus T. Jones,7.0,The Rookie,John Lee Hancock Jay Hernandez Dennis Quaid Drama Family Sport Angus T. Jones
2085,Andy Fickman,Kyra Sedgwick,Comedy Family Sport,Dwayne Johnson,the game plan,Madison Pettis,6.2,The Game Plan,Andy Fickman Kyra Sedgwick Dwayne Johnson Comedy Family Sport Madison Pettis
2086,Clint Eastwood,Meryl Streep,Drama Romance,Clint Eastwood,the bridges of madison county,Debra Monk,7.5,The Bridges of Madison County,Clint Eastwood Meryl Streep Clint Eastwood Drama Romance Debra Monk
2087,Luke Greenfield,Michael Papajohn,Comedy Sci-Fi,Louis Lombardi,the animal,Colleen Haskell,4.8,The Animal,Luke Greenfield Michael Papajohn Louis Lombardi Comedy Sci-Fi Colleen Haskell
2088,Richard Attenborough,Amrish Puri,Biography Drama History,Candice Bergen,gandhi,John Gielgud,8.1,Gandhi,Richard Attenborough Amrish Puri Candice Bergen Biography Drama History John Gielgud
2089,Lasse Hallström,Charlotte Le Bon,Comedy Drama,Manish Dayal,the hundred-foot journey,Juhi Chawla,7.3,The Hundred-Foot Journey,Lasse Hallström Charlotte Le Bon Manish Dayal Comedy Drama Juhi Chawla
2090,Irwin Winkler,Jeremy Northam,Action Crime Drama Mystery Thriller,Ken Howard,the net,Ray McKinnon,5.8,The Net,Irwin Winkler Jeremy Northam Ken Howard Action Crime Drama Mystery Thriller Ray McKinnon
2091,Jessie Nelson,Loretta Devine,Drama,Dianne Wiest,i am sam,Richard Schiff,7.6,I Am Sam,Jessie Nelson Loretta Devine Dianne Wiest Drama Richard Schiff
2092,Christopher Spencer,Amber Rose Revah,Biography Drama History,Roma Downey,son of god,Darwin Shaw,5.6,Son of God,Christopher Spencer Amber Rose Revah Roma Downey Biography Drama History Darwin Shaw
2093,Len Wiseman,Kevin Grevioux,Action Fantasy Thriller,Sophia Myles,underworld,Shane Brolly,7.0,Underworld,Len Wiseman Kevin Grevioux Sophia Myles Action Fantasy Thriller Shane Brolly
2094,Mikael Håfström,RZA,Drama Thriller,Denis O'Hare,derailed,Xzibit,6.6,Derailed,Mikael Håfström RZA Denis O'Hare Drama Thriller Xzibit
2095,Steven Soderbergh,Joel McHale,Comedy Crime Drama Thriller,Matt Damon,the informant!,Thomas F. Wilson,6.5,The Informant!,Steven Soderbergh Joel McHale Matt Damon Comedy Crime Drama Thriller Thomas F. Wilson
2096,Richard Attenborough,James Frain,Biography Drama Romance,Anthony Hopkins,shadowlands,Julian Fellowes,7.4,Shadowlands,Richard Attenborough James Frain Anthony Hopkins Biography Drama Romance Julian Fellowes
2097,Mike Bigelow,Eddie Griffin,Comedy,Carlos Ponce,deuce bigalow: european gigolo,Charles Keating,4.6,Deuce Bigalow: European Gigolo,Mike Bigelow Eddie Griffin Carlos Ponce Comedy Charles Keating
2098,Ken Scott,Bobby Moynihan,Comedy Drama,Jack Reynor,delivery man,Matthew Daddario,6.4,Delivery Man,Ken Scott Bobby Moynihan Jack Reynor Comedy Drama Matthew Daddario
2100,Susanna White,Pawel Szajda,Thriller,Radivoje Bukvic,our kind of traitor,Grigoriy Dobrygin,6.4,Our Kind of Traitor,Susanna White Pawel Szajda Radivoje Bukvic Thriller Grigoriy Dobrygin
2101,Dennis Dugan,Neil Diamond,Comedy Crime Romance,Amanda Detmer,saving silverman,Kyle Gass,5.9,Saving Silverman,Dennis Dugan Neil Diamond Amanda Detmer Comedy Crime Romance Kyle Gass
2102,David Bowers,Rachael Harris,Comedy Family,Zachary Gordon,diary of a wimpy kid: dog days,Karan Brar,6.4,Diary of a Wimpy Kid: Dog Days,David Bowers Rachael Harris Zachary Gordon Comedy Family Karan Brar
2103,Spike Lee,Jennifer Esposito,Crime Drama Romance Thriller,Mira Sorvino,summer of sam,Mike Starr,6.6,Summer of Sam,Spike Lee Jennifer Esposito Mira Sorvino Crime Drama Romance Thriller Mike Starr
2104,Kevin Smith,Shannon Elizabeth,Comedy,Will Ferrell,jay and silent bob strike back,Jason Mewes,6.9,Jay and Silent Bob Strike Back,Kevin Smith Shannon Elizabeth Will Ferrell Comedy Jason Mewes
2106,Daniel Sackheim,Bruce Dern,Crime Drama Mystery Thriller,Chris Noth,the glass house,Trevor Morgan,5.8,The Glass House,Daniel Sackheim Bruce Dern Chris Noth Crime Drama Mystery Thriller Trevor Morgan
2107,Ethan Coen,Channing Tatum,Comedy Mystery,Scarlett Johansson,"hail, caesar!",Alden Ehrenreich,6.4,"Hail, Caesar!",Ethan Coen Channing Tatum Scarlett Johansson Comedy Mystery Alden Ehrenreich
2108,Harry Elfont,Paulo Costanzo,Comedy Music,Rosario Dawson,josie and the pussycats,Aries Spears,5.3,Josie and the Pussycats,Harry Elfont Paulo Costanzo Rosario Dawson Comedy Music Aries Spears
2109,Gary Fleder,James Franco,Action Crime Drama Thriller,Jason Statham,homefront,Frank Grillo,6.5,Homefront,Gary Fleder James Franco Jason Statham Action Crime Drama Thriller Frank Grillo
2110,Uli Edel,Jim Carter,Adventure Comedy Family Fantasy,Richard E. Grant,the little vampire,Alice Krige,5.7,The Little Vampire,Uli Edel Jim Carter Richard E. Grant Adventure Comedy Family Fantasy Alice Krige
2111,David O. Russell,Lily Tomlin,Comedy,Naomi Watts,i heart huckabees,Isabelle Huppert,6.7,I Heart Huckabees,David O. Russell Lily Tomlin Naomi Watts Comedy Isabelle Huppert
2112,Fred Dekker,Rip Torn,Action Crime Sci-Fi Thriller,CCH Pounder,robocop 3,Mako,3.9,RoboCop 3,Fred Dekker Rip Torn CCH Pounder Action Crime Sci-Fi Thriller Mako
2113,Brian Trenchard-Smith,Udo Kier,Action Adventure Fantasy Sci-Fi Thriller,Michael Biehn,megiddo: the omega code 2,Franco Nero,4.1,Megiddo: The Omega Code 2,Brian Trenchard-Smith Udo Kier Michael Biehn Action Adventure Fantasy Sci-Fi Thriller Franco Nero
2114,Blake Edwards,Vernon Dobtcheff,Comedy Drama Musical Romance War,Rock Hudson,darling lili,Jeremy Kemp,6.2,Darling Lili,Blake Edwards Vernon Dobtcheff Rock Hudson Comedy Drama Musical Romance War Jeremy Kemp
2115,Hugh Wilson,Alex Rocco,Comedy Family Romance,Brendan Fraser,dudley do-right,Eric Idle,3.8,Dudley Do-Right,Hugh Wilson Alex Rocco Brendan Fraser Comedy Family Romance Eric Idle
2116,Camille Delamarre,Noémie Lenoir,Action Crime Thriller,Ed Skrein,the transporter refueled,Radivoje Bukvic,5.1,The Transporter Refueled,Camille Delamarre Noémie Lenoir Ed Skrein Action Crime Thriller Radivoje Bukvic
2117,Laurence Dunmore,Jack Davenport,Drama Romance,Johnny Depp,the libertine,Richard Coyle,6.4,The Libertine,Laurence Dunmore Jack Davenport Johnny Depp Drama Romance Richard Coyle
2118,Paul Verhoeven,Sebastian Koch,Drama Thriller War,Michiel Huisman,black book,Christian Berkel,7.8,Black Book,Paul Verhoeven Sebastian Koch Michiel Huisman Drama Thriller War Christian Berkel
2119,Christian Carion,Dany Boon,Drama History Music Romance War,Gary Lewis,joyeux noel,Ian Richardson,7.8,Joyeux Noel,Christian Carion Dany Boon Gary Lewis Drama History Music Romance War Ian Richardson
2120,David Palmer,Tom Arnold,Action Comedy Romance,Bradley Cooper,hit and run,Beau Bridges,6.1,Hit and Run,David Palmer Tom Arnold Bradley Cooper Action Comedy Romance Beau Bridges
2121,Callie Khouri,Ted Danson,Comedy Crime Thriller,Stephen Root,mad money,Roger Cross,5.8,Mad Money,Callie Khouri Ted Danson Stephen Root Comedy Crime Thriller Roger Cross
2122,Rowan Joffe,Ben Crompton,Drama Mystery Thriller,Colin Firth,before i go to sleep,Anne-Marie Duff,6.3,Before I Go to Sleep,Rowan Joffe Ben Crompton Colin Firth Drama Mystery Thriller Anne-Marie Duff
2123,William Friedkin,Joe Spinell,Adventure Drama Thriller,Roy Scheider,sorcerer,Amidou,7.7,Sorcerer,William Friedkin Joe Spinell Roy Scheider Adventure Drama Thriller Amidou
2124,John Curran,Milla Jovovich,Drama Thriller,Robert De Niro,stone,Frances Conroy,5.4,Stone,John Curran Milla Jovovich Robert De Niro Drama Thriller Frances Conroy
2125,Laurent Tirard,Ludivine Sagnier,Comedy History,Romain Duris,molière,Fabrice Luchini,7.3,Molière,Laurent Tirard Ludivine Sagnier Romain Duris Comedy History Fabrice Luchini
2126,Scott Cooper,Sam Shepard,Crime Drama Thriller,Christian Bale,out of the furnace,Dendrie Taylor,6.8,Out of the Furnace,Scott Cooper Sam Shepard Christian Bale Crime Drama Thriller Dendrie Taylor
2127,Tony Gilroy,Denis O'Hare,Crime Drama Mystery Thriller,Tom Wilkinson,michael clayton,Sydney Pollack,7.3,Michael Clayton,Tony Gilroy Denis O'Hare Tom Wilkinson Crime Drama Mystery Thriller Sydney Pollack
2128,Peter Segal,Bradley Whitford,Adventure Comedy,Wilford Brimley,my fellow americans,Sela Ward,6.5,My Fellow Americans,Peter Segal Bradley Whitford Wilford Brimley Adventure Comedy Sela Ward
2129,Mark Pellington,Spencer Treat Clark,Crime Drama Thriller,Jeff Bridges,arlington road,Hope Davis,7.2,Arlington Road,Mark Pellington Spencer Treat Clark Jeff Bridges Crime Drama Thriller Hope Davis
2130,Juan José Campanella,Diego Ramos,Adventure Animation Family Sport,Pablo Rago,underdogs,Gabriel Almirón,6.7,Underdogs,Juan José Campanella Diego Ramos Pablo Rago Adventure Animation Family Sport Gabriel Almirón
2131,Woody Allen,Judy Davis,Comedy Romance,Ornella Muti,to rome with love,Alessandra Mastronardi,6.3,To Rome with Love,Woody Allen Judy Davis Ornella Muti Comedy Romance Alessandra Mastronardi
2132,Clint Eastwood,Warren Clarke,Action Adventure Thriller,Clint Eastwood,firefox,Kenneth Colley,5.9,Firefox,Clint Eastwood Warren Clarke Clint Eastwood Action Adventure Thriller Kenneth Colley
2133,Trey Parker,Eric Idle,Animation Comedy Fantasy Musical,Minnie Driver,south park: bigger longer & uncut,Trey Parker,7.8,South Park: Bigger Longer & Uncut,Trey Parker Eric Idle Minnie Driver Animation Comedy Fantasy Musical Trey Parker
2134,Frank Oz,Ewen Bremner,Comedy,Peter Dinklage,death at a funeral,Kris Marshall,7.4,Death at a Funeral,Frank Oz Ewen Bremner Peter Dinklage Comedy Kris Marshall
2135,Stuart Gillard,John Aylward,Action Adventure Comedy Family Fantasy Sci-Fi,Paige Turco,teenage mutant ninja turtles iii,Matt Hill,4.8,Teenage Mutant Ninja Turtles III,Stuart Gillard John Aylward Paige Turco Action Adventure Comedy Family Fantasy Sci-Fi Matt Hill
2136,Brian Robbins,D.B. Sweeney,Drama Sport,Keanu Reeves,hardball,DeWayne Warren,6.3,Hardball,Brian Robbins D.B. Sweeney Keanu Reeves Drama Sport DeWayne Warren
2137,David O. Russell,Robert De Niro,Comedy Drama Romance,Jennifer Lawrence,silver linings playbook,Bradley Cooper,7.8,Silver Linings Playbook,David O. Russell Robert De Niro Jennifer Lawrence Comedy Drama Romance Bradley Cooper
2138,Richard LaGravenese,Scott Glenn,Biography Crime Drama,Hunter Parrish,freedom writers,Imelda Staunton,7.5,Freedom Writers,Richard LaGravenese Scott Glenn Hunter Parrish Biography Crime Drama Imelda Staunton
2139,Tyler Perry,Loretta Devine,Drama,Omari Hardwick,for colored girls,Kimberly Elise,6.0,For Colored Girls,Tyler Perry Loretta Devine Omari Hardwick Drama Kimberly Elise
2140,Louis Leterrier,Qi Shu,Action Crime Thriller,Jason Statham,the transporter,Matt Schulze,6.8,The Transporter,Louis Leterrier Qi Shu Jason Statham Action Crime Thriller Matt Schulze
2141,Jeff Wadlow,Neil Brown Jr.,Action Drama Sport,Djimon Hounsou,never back down,Leslie Hope,6.6,Never Back Down,Jeff Wadlow Neil Brown Jr. Djimon Hounsou Action Drama Sport Leslie Hope
2142,Katt Shea,Rachel Blanchard,Horror Sci-Fi Thriller,Jason London,the rage: carrie 2,Eddie Kaye Thomas,4.6,The Rage: Carrie 2,Katt Shea Rachel Blanchard Jason London Horror Sci-Fi Thriller Eddie Kaye Thomas
2144,Sam Mendes,Jim Gaffigan,Comedy Drama Romance,Catherine O'Hara,away we go,Carmen Ejogo,7.1,Away We Go,Sam Mendes Jim Gaffigan Catherine O'Hara Comedy Drama Romance Carmen Ejogo
2145,Joshua Michael Stern,Judge Reinhold,Comedy Drama,Madeline Carroll,swing vote,Nathan Lane,6.1,Swing Vote,Joshua Michael Stern Judge Reinhold Madeline Carroll Comedy Drama Nathan Lane
2146,Brad Silberling,Holly Hunter,Drama Romance,Jake Gyllenhaal,moonlight mile,Bob Clendenin,6.7,Moonlight Mile,Brad Silberling Holly Hunter Jake Gyllenhaal Drama Romance Bob Clendenin
2147,Tomas Alfredson,Colin Firth,Drama Mystery Thriller,Benedict Cumberbatch,tinker tailor soldier spy,Gary Oldman,7.1,Tinker Tailor Soldier Spy,Tomas Alfredson Colin Firth Benedict Cumberbatch Drama Mystery Thriller Gary Oldman
2148,John Duigan,Jill Hennessy,Comedy Drama Romance,Elaine Hendrix,molly,Sarah Wynter,5.8,Molly,John Duigan Jill Hennessy Elaine Hendrix Comedy Drama Romance Sarah Wynter
2149,Jodie Foster,Cherry Jones,Drama,Jennifer Lawrence,the beaver,Riley Thomas Stewart,6.7,The Beaver,Jodie Foster Cherry Jones Jennifer Lawrence Drama Riley Thomas Stewart
2150,Colin Higgins,Barry Corbin,Comedy Musical,Dolly Parton,the best little whorehouse in texas,Dom DeLuise,5.8,The Best Little Whorehouse in Texas,Colin Higgins Barry Corbin Dolly Parton Comedy Musical Dom DeLuise
2151,David Cronenberg,Sarah Polley,Horror Sci-Fi Thriller,Jennifer Jason Leigh,existenz,Callum Rennie,6.8,eXistenZ,David Cronenberg Sarah Polley Jennifer Jason Leigh Horror Sci-Fi Thriller Callum Rennie
2152,Steven Spielberg,Karen Allen,Action Adventure,Harrison Ford,raiders of the lost ark,William Hootkins,8.5,Raiders of the Lost Ark,Steven Spielberg Karen Allen Harrison Ford Action Adventure William Hootkins
2153,Chris Columbus,Kieran Culkin,Adventure Comedy Family,Macaulay Culkin,home alone 2: lost in new york,Devin Ratray,6.6,Home Alone 2: Lost in New York,Chris Columbus Kieran Culkin Macaulay Culkin Adventure Comedy Family Devin Ratray
2154,Steven Spielberg,Teri Garr,Drama Sci-Fi,Bob Balaban,close encounters of the third kind,Melinda Dillon,7.7,Close Encounters of the Third Kind,Steven Spielberg Teri Garr Bob Balaban Drama Sci-Fi Melinda Dillon
2155,Jim Sonzero,Christina Milian,Drama Horror Sci-Fi Thriller,Ian Somerhalder,pulse,Rick Gonzalez,4.7,Pulse,Jim Sonzero Christina Milian Ian Somerhalder Drama Horror Sci-Fi Thriller Rick Gonzalez
2156,Tony Scott,Judge Reinhold,Action Comedy Crime Thriller,Dean Stockwell,beverly hills cop ii,Ronny Cox,6.4,Beverly Hills Cop II,Tony Scott Judge Reinhold Dean Stockwell Action Comedy Crime Thriller Ronny Cox
2157,Adam Shankman,Kimberly J. Brown,Comedy,Angus T. Jones,bringing down the house,Steve Harris,5.5,Bringing Down the House,Adam Shankman Kimberly J. Brown Angus T. Jones Comedy Steve Harris
2158,Jonathan Demme,Scott Glenn,Crime Drama Horror Thriller,Anthony Hopkins,the silence of the lambs,Anthony Heald,8.6,The Silence of the Lambs,Jonathan Demme Scott Glenn Anthony Hopkins Crime Drama Horror Thriller Anthony Heald
2159,Penelope Spheeris,Lara Flynn Boyle,Comedy Music,Tia Carrere,wayne's world,Kurt Fuller,7.0,Wayne's World,Penelope Spheeris Lara Flynn Boyle Tia Carrere Comedy Music Kurt Fuller
